,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00057,7,54,137,115,12,19,141,113,225,342,13,2,0,0,0,0,0,0,0,1,10,0,0
Otu00058,0,0,0,0,0,0,0,0,0,0,0,1615,559,1628,0,0,0,0,14,0,0,0,0
Otu00059,0,0,1,0,82,0,0,15,22,0,1,4,0,0,0,0,0,0,3,7,3634,1,14
Otu00060,2,8,1,3,0,7,1,8,1,0,0,41,502,0,0,101,0,0,22,0,470,105,65
Otu00061,1,0,0,9,0,1,0,0,0,19,274,14,0,1,0,19,0,0,2,43,53,0,17
Otu00062,0,0,0,0,0,0,0,4,1,3,337,2,0,2,25,397,268,146,95,0,252,0,127
Otu00063,1,0,0,0,6,3280,1,0,0,0,4,2,0,0,0,0,0,0,4,2,18,0,0
Otu00064,0,0,0,0,0,1,0,0,1,0,0,65,0,1,0,0,0,1,3245,0,0,0,0
Otu00065,0,0,0,0,0,1,0,0,0,2,422,2,6,0,33,244,402,49,135,3,17,19,44
Otu00066,0,11,0,0,0,0,2,16,3,0,1,0,33,0,0,0,0,0,0,0,3125,3,0
Otu00067,15,25,31,161,1607,12,13,29,9,34,4,15,34,86,0,0,249,12,329,10,69,0,10
Otu00068,0,1,0,0,0,0,0,0,0,0,0,2672,33,203,0,0,0,0,7,1,0,0,0
Otu00069,0,0,0,0,0,0,0,1,2,0,0,31,0,0,0,0,0,0,2631,0,210,0,0
Otu00070,19,38,24,89,0,3,36,387,332,42,1,5,82,0,46,1,0,14,7,3,23,0,0
Otu00071,0,0,0,0,0,0,0,0,0,0,0,1266,322,1218,0,0,0,0,19,0,0,0,0
Otu00072,0,1,0,0,0,0,0,0,0,0,0,2176,30,532,1,0,0,0,11,1,1,0,0
Otu00073,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1384,1236,74,0,0,0,0,0,1
Otu00074,64,62,0,133,2,61,77,3,8,0,0,0,0,0,0,0,16,0,1,3,0,0,0
Otu00075,1,2,0,0,0,0,0,0,0,0,1,3,0,31,0,0,0,0,0,0,35,1850,96
