,EMf3,ECf11,EMf1,EMf7,MVf12,EMf2,ECf9,bkEC,bkEM,bkMV,EMw3,EMw6,ECw11,EMw1,EMw4,EMw7,EMw8,MVw12,EMw2,EMw5,ECw9,ECw10,MVw13
B_Otu000055,0,29,3,3,0,3,74,0,0,0,0,4,0,302,338,1019,830,2,1,0,41,675,24
B_Otu000056,2,4,0,0,0,0,0,0,0,0,15,2192,3,471,2,2,30,41,17,0,12,11,1495
B_Otu000057,0,138,931,496,5,3,170,0,0,0,30,9,29,156,135,163,579,712,117,366,162,111,17
B_Otu000058,0,0,0,0,0,0,0,0,0,3,6,2,0,1,0,0,0,4712,0,0,0,0,0
B_Otu000059,0,33,0,3,0,0,3,0,0,0,1276,1441,37,221,0,0,0,0,28,433,52,0,122
B_Otu000060,0,8,3,0,5,8,6,0,0,0,0,2,23,402,117,384,292,4,7,8,29,1683,122
B_Otu000061,0,13,10,3,0,8,105,0,2,0,2,2,3,485,140,692,807,0,7,0,11,215,24
B_Otu000062,0,0,0,0,36,3,0,0,0,0,41,607,405,141,0,0,0,2,102,183,18,0,0
B_Otu000063,0,0,0,0,10,0,0,0,0,0,53,261,152,35,0,0,0,0,206,64,13,4,0
B_Otu000064,740,263,438,1008,286,1421,1032,182,44,14,4,0,3,2,0,0,3,4,0,0,0,0,28
B_Otu000065,0,38,0,16,26,0,3,0,0,0,537,633,471,114,3,0,0,368,109,355,124,15,1014
B_Otu000066,0,21,0,6,0,0,3,0,0,0,2,0,3,1,0,0,0,2,69,4830,12,0,0
B_Otu000067,0,13,3,3,0,0,3,0,0,0,0,2,327,40,63,78,314,2,14,8,48,2016,401
B_Otu000068,0,17,0,6,5,8,6,0,0,0,0,2,1591,110,47,15,114,38,48,14,268,723,3
B_Otu000069,0,0,0,0,5,0,0,0,0,0,83,178,66,23,0,0,0,0,814,1245,101,2,70
B_Otu000070,111,217,266,468,0,155,632,531,1180,1129,0,0,9,4,0,0,0,0,0,3,0,0,0
B_Otu000071,0,4,0,0,20,0,0,0,0,0,2,152,3835,25,0,0,0,0,1,8,45,2,17
B_Otu000072,0,4,6,41,0,15,9,0,26,1011,267,1813,34,48,2,3,1,0,51,94,25,85,10
B_Otu000073,11,75,114,57,0,10,592,1006,2065,341,0,9,0,4,0,0,0,4,3,3,3,0,0
B_Otu000074,2,8,0,0,5,0,0,0,0,0,2408,342,60,44,0,0,0,0,0,17,1,0,0
B_Otu000075,0,0,0,0,0,0,0,0,0,0,24,242,63,52,0,0,0,0,1004,693,2,2,3
B_Otu000076,122,259,279,512,10,157,505,610,1174,892,0,0,17,1,0,0,0,0,0,0,0,0,0
B_Otu000077,0,4,0,0,0,0,0,0,0,0,0,0,0,100,1372,532,335,0,0,0,0,35,0
B_Otu000078,102,192,55,314,107,1720,505,36,102,1274,2,0,55,2,0,3,32,11,0,0,0,0,3
B_Otu000079,0,330,3,63,0,3,84,0,2,0,0,4,3,120,560,358,861,0,13,3,1,133,0
B_Otu000080,0,0,0,0,77,0,0,0,0,0,0,24,66,11,0,7,1,0,1,0,13,2,17
B_Otu000081,0,4,29,217,46,0,53,4,2,0,0,4,3,46,714,777,320,385,18,8,0,20,10
B_Otu000082,0,8,3,0,919,0,0,4,0,0,89,174,57,58,0,0,0,1313,177,86,34,0,624
B_Otu000083,22,54,143,173,10,23,502,382,1157,1900,0,0,3,1,0,0,0,0,0,0,0,0,0
B_Otu000084,0,4,0,0,0,0,0,0,0,0,212,224,0,58,0,0,0,0,0,0,0,0,4003
B_Otu000085,11,1613,688,88,0,3,65,0,9,0,188,76,497,27,2,8,7,4,46,283,154,104,3
B_Otu000086,0,0,0,0,0,0,0,0,0,0,26,15,3,22,0,0,0,0,0,31,1,0,1380
B_Otu000087,0,0,0,0,5,0,0,4,0,0,66,137,11,14,0,0,0,0,215,1960,4,4,3
B_Otu000088,0,0,0,0,0,0,0,0,0,0,0,0,3,67,1366,340,385,0,0,0,0,56,10
B_Otu000089,0,8,6,3,0,8,25,0,0,0,0,2,32,147,213,421,410,6,9,0,79,560,181
B_Otu000090,0,4,0,3,0,3,22,0,0,0,2,2,17,192,162,80,220,4,1,3,291,613,38
B_Otu000091,0,109,26,38,0,0,6,0,4,0,2,7,43,141,132,64,914,274,1,0,32,298,28
B_Otu000092,0,4,0,3,0,0,0,0,0,0,149,157,0,578,2,2,0,0,0,3,1,2,101
B_Otu000093,0,4,6,9,26,5,40,0,0,0,2,0,0,77,345,658,657,199,3,17,4,70,7
B_Otu000094,4,67,29,66,138,5,158,157,433,3066,0,4,9,1,0,0,0,34,3,3,8,0,139
B_Otu000095,0,13,6,25,10,5,53,0,0,0,0,0,0,106,188,902,447,199,0,0,6,120,14
B_Otu000096,0,17,0,31,0,3,15,0,0,0,0,0,0,157,371,381,334,0,1,0,150,156,42
B_Otu000097,0,0,0,6,0,0,59,0,0,0,0,0,0,30,178,722,719,246,0,0,1,37,14
B_Otu000098,76,167,188,339,10,122,387,403,743,1105,0,0,9,2,0,0,0,0,0,0,0,0,0
B_Otu000099,0,8,0,19,5,5,19,4,0,0,6,7,6,121,238,15,56,36,4,3,427,222,21
B_Otu000100,0,13,3,0,0,0,0,0,0,0,561,488,78,114,0,0,0,2,50,471,38,4,38
B_Otu000101,0,4,0,0,0,0,9,0,490,179,2,2,17,497,8,3,4,0,4,11,0,0,0
B_Otu000102,9,247,110,141,36,13,332,421,987,1034,0,0,3,2,0,0,0,0,0,0,0,0,0
B_Otu000103,0,4,0,0,5,5,0,0,0,0,7,11,681,9,0,0,0,9,35,33,563,20,10
B_Otu000104,0,0,0,0,36,0,0,0,0,0,7,91,103,20,0,0,0,19,58,369,93,2,94
B_Otu000105,0,0,0,0,536,0,3,0,0,0,2,2,20,0,0,0,0,1954,8,0,27,0,146
B_Otu000106,2,3699,0,0,0,3,276,14,0,0,0,11,3,23,17,8,87,0,1,3,11,0,0
B_Otu000107,2,552,2733,63,0,3,46,7,4,0,0,4,3,20,5,7,46,0,7,31,4,7,0
B_Otu000108,0,0,0,0,5,0,0,0,0,0,0,0,3,631,12,0,3,0,1,6,0,0,0
B_Otu000109,0,0,0,0,1476,0,0,0,0,0,0,0,0,0,0,0,0,1753,0,0,0,0,3
B_Otu000110,2,0,0,3,0,0,0,0,0,0,258,65,0,542,0,0,0,0,3,3,0,0,0
B_Otu000111,0,4,3,0,5,0,0,0,2,0,798,638,0,33,0,0,0,4,50,516,9,0,3
B_Otu000112,0,1981,227,992,15,3,74,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
B_Otu000113,4,159,2548,41,0,3,37,0,2,0,0,2,46,58,15,3,15,0,1,72,4,15,0
B_Otu000114,24,38,45,100,0,15,347,424,732,1251,0,0,3,0,0,0,0,2,0,0,0,0,0
B_Otu000115,0,0,3,0,10,0,0,0,0,0,240,165,75,35,0,0,0,17,300,358,148,2,111
B_Otu000116,0,4,6,0,10,3,0,0,0,0,0,2,3,41,130,7,15,2,1,0,525,82,101
B_Otu000117,0,0,0,0,10,0,0,0,0,0,131,211,20,15,0,0,0,4,553,427,20,0,14
B_Otu000118,0,0,0,0,0,0,0,0,0,0,2,4,3,5,0,0,0,0,1106,100,1,0,0
B_Otu000119,0,17,0,0,0,5,25,0,0,0,0,0,0,178,5,194,564,0,7,0,21,180,7
B_Otu000120,0,8,0,3,0,0,0,4,9,30,2,207,0,13,0,3,0,0,0,11,0,0,3
B_Otu000121,0,0,0,0,5,0,0,0,0,0,22,120,3,19,0,0,0,0,220,17,30,0,7
B_Otu000122,9,46,16,41,143,0,19,0,15,47,2,0,3,2,0,5,1,1009,0,0,63,70,854
B_Otu000123,0,506,1223,85,0,10,31,11,0,0,2,0,83,75,80,60,155,0,0,0,6,19,0
B_Otu000124,0,13,0,0,0,0,0,0,0,0,275,801,0,156,0,0,0,0,0,0,0,0,0
B_Otu000125,0,4,0,0,15,0,0,0,0,0,4,67,78,20,0,3,0,0,142,42,18,0,3
B_Otu000126,2,21,6,0,0,3,28,43,547,2092,0,0,0,0,0,0,0,0,0,0,0,0,0
B_Otu000127,0,0,0,0,1042,0,0,0,0,0,0,0,0,0,0,0,0,1475,0,0,4,0,0
B_Otu000128,2,54,19,116,153,0,15,0,2,0,0,0,0,26,58,234,275,817,1,3,1,7,3
B_Otu000129,0,13,0,0,10,0,0,0,0,0,31,311,178,52,0,0,1,21,145,236,112,2,45
B_Otu000130,0,4,0,0,0,3,3,0,0,0,0,0,11,134,75,150,205,2,1,0,20,549,153
B_Otu000131,0,0,0,0,5,0,19,4,0,0,28,115,52,28,0,0,6,0,89,269,64,0,59
B_Otu000132,0,42,0,6,0,3,15,0,0,0,0,0,158,120,130,90,309,2,12,6,79,221,38
B_Otu000133,0,0,3,3,10,0,12,0,0,0,0,0,0,31,28,229,681,383,0,0,0,32,0
B_Otu000134,0,0,0,0,0,0,0,0,0,0,325,444,37,72,0,0,0,0,41,405,11,6,10
B_Otu000135,0,25,0,3,0,0,6,0,0,0,4,0,3,15,27,423,657,96,0,6,5,13,132
B_Otu000136,2,468,0,0,5,13,43,11,0,0,0,0,34,1,0,0,3,0,0,0,483,4,49
B_Otu000137,2,63,55,13,0,0,28,0,0,0,230,107,95,25,0,0,10,0,333,360,43,19,171
B_Otu000138,9,476,10,6,0,0,84,18,2,0,0,2,3,158,391,127,120,11,0,0,5,20,7
B_Otu000139,0,4,0,0,5,0,56,0,0,0,0,7,3,32,125,1011,69,0,0,0,8,20,0
B_Otu000140,0,0,3,3,5,0,0,0,0,0,179,474,32,70,0,0,0,0,1,158,6,0,0
B_Otu000141,35,1396,26,22,0,8,124,7,4,24,0,0,0,120,143,28,46,13,0,0,29,61,0
B_Otu000142,0,0,0,0,71,0,0,0,0,0,13,65,83,9,0,0,0,1319,0,31,31,9,146
B_Otu000143,0,79,3,0,0,0,3,0,0,0,0,0,0,29,223,317,596,0,0,0,0,32,0
B_Otu000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,3
B_Otu000145,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1719,0,0,0,0,7
B_Otu000146,0,0,0,0,5,0,0,0,0,0,42,30,135,7,0,0,0,2,259,566,142,2,35
B_Otu000147,50,0,305,63,20,1253,0,7,78,17,22,20,43,6,2,0,3,79,9,25,2,6,10
B_Otu000148,0,0,0,0,0,0,0,0,0,0,26,7,63,8,0,0,0,4,425,1073,11,2,0
B_Otu000149,0,17,10,47,0,3,22,0,0,44,0,0,3,46,100,214,629,60,0,3,2,26,3
B_Otu000150,0,29,32,3,240,0,6,0,0,0,6,39,305,20,3,0,30,88,189,363,118,33,45
B_Otu000151,0,0,0,0,1226,0,0,0,0,0,20,107,14,22,0,0,0,173,51,44,14,0,3
B_Otu000152,0,0,0,0,0,3,0,4,0,0,0,0,0,8,0,2,35,73,0,0,483,28,0
B_Otu000153,0,4,0,0,0,0,31,4,0,0,0,0,17,41,293,211,258,41,0,0,6,259,136
B_Otu000154,4,267,1207,389,189,322,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_Otu000155,0,17,3,3,15,0,12,7,9,223,28,72,138,11,0,0,7,4,8,14,66,0,0
B_Otu000156,0,29,0,0,5,0,0,0,0,0,188,61,147,36,0,0,0,0,208,846,11,4,63
B_Otu000157,0,21,0,0,0,0,0,0,0,0,15,50,3,402,0,0,0,0,7,0,1,0,70
B_Otu000158,0,150,10,47,15,0,46,0,0,0,0,0,0,33,280,258,381,4,4,0,4,48,14
B_Otu000159,0,0,0,0,0,0,0,0,0,0,913,185,63,73,2,0,0,0,1,19,0,0,0
B_Otu000160,0,4,0,0,15,0,0,0,0,0,48,72,69,5,0,0,0,2,343,391,74,0,7
