,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00832,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,6,0,0,0
Otu00833,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0
Otu00834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Otu00835,4,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00836,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0
Otu00837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Otu00838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Otu00839,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Otu00841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Otu00842,1,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu00843,1,0,0,5,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu00844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Otu00845,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0
Otu00846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Otu00847,7,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00848,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,4,0,0,0,0
Otu00849,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00850,1,3,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Otu00852,0,0,0,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00853,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Otu00854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Otu00856,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0
Otu00857,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00858,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu00859,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Otu00860,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00861,0,0,1,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Otu00863,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,1
Otu00864,0,0,1,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00865,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Otu00867,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00868,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Otu00869,0,0,1,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00870,0,0,2,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00871,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00872,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,2,0,0,0
Otu00873,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Otu00874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Otu00875,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00876,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Otu00877,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0
Otu00878,0,0,0,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Otu00879,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00880,6,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00881,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Otu00882,0,1,1,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00883,2,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00884,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00885,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00886,0,0,3,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00887,0,0,0,0,3,0,0,0,0,2,1,1,0,0,0,0,0,1,2,0,0,0
Otu00888,0,0,0,0,3,0,0,0,0,0,2,2,2,0,0,0,1,1,0,0,0,0
Otu00889,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00890,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0
Otu00891,0,2,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00892,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,6,0,0,0
Otu00893,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00894,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,1,0
Otu00895,1,0,0,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0
Otu00897,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,0,0,0,0,0
Otu00898,0,0,1,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Otu00899,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00900,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Otu00901,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00902,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,3,1
Otu00903,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Otu00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Otu00905,0,0,2,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Otu00907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Otu00908,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00909,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Otu00910,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00911,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00912,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00913,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Otu00914,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Otu00915,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00916,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0
Otu00917,1,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00918,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00919,0,0,0,2,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00920,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00922,2,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00923,0,0,0,3,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Otu00924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Otu00925,0,0,2,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Otu00926,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Otu00927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Otu00928,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00929,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00930,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00931,3,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00932,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00933,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Otu00934,2,0,0,1,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Otu00936,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Otu00937,0,0,1,0,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Otu00938,1,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Otu00941,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Otu00943,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00944,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0
Otu00945,0,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00946,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00947,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00948,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Otu00949,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Otu00950,0,0,1,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00951,0,0,2,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00952,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00953,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Otu00955,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00956,0,0,0,0,1,0,0,4,1,0,1,0,0,0,0,0,2,0,0,0,0,0
Otu00957,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00958,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00959,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00960,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
Otu00962,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0
Otu00963,0,2,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0
Otu00965,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Otu00967,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Otu00968,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00969,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00970,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0
Otu00971,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
Otu00972,0,0,2,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00973,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00974,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Otu00975,1,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00976,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00977,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Otu00979,0,1,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00980,0,1,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00981,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0
Otu00982,3,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00983,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Otu00985,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00986,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00987,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00988,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Otu00989,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00990,1,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Otu00991,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Otu00992,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00994,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00995,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00996,2,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu00997,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00998,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,0,0,0
Otu00999,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01000,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01002,1,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01003,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0
Otu01005,0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu01006,0,1,0,2,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu01007,0,0,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01008,0,0,0,0,1,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0
Otu01009,0,0,0,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu01011,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0
Otu01012,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Otu01013,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01014,4,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu01015,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01016,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,1,0,0,0
Otu01017,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01018,0,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu01019,0,0,1,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Otu01021,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01022,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01023,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Otu01025,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,3,0,0,0,0
Otu01026,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Otu01028,1,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01029,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
Otu01030,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01031,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0
Otu01032,0,0,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu01033,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01034,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0
Otu01035,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0
Otu01036,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Otu01037,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01038,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0
Otu01039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Otu01040,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0
Otu01041,0,0,0,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Otu01042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Otu01043,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01044,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Otu01045,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01046,1,0,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01047,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0
Otu01048,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0
Otu01049,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01050,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu01051,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Otu01052,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Otu01053,0,0,1,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01054,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01055,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0
Otu01056,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Otu01058,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01059,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu01060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Otu01061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Otu01062,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Otu01064,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Otu01065,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01066,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01067,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01068,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Otu01070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Otu01071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Otu01072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0
Otu01073,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Otu01075,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01076,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01077,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Otu01078,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
Otu01079,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01080,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0
Otu01081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4
Otu01082,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01083,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01084,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01085,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0
Otu01086,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01087,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Otu01089,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1
Otu01092,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Otu01093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1
Otu01094,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Otu01096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
Otu01097,0,0,0,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01098,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Otu01099,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
Otu01100,0,0,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu01101,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01102,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0
Otu01103,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01104,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu01105,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01106,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu01107,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01108,0,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu01109,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu01110,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01111,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu01112,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01113,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu01114,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
