Identity,Effect,Greater_in,Domain
Gammaproteobacteria fa_Methylophagaceae OTU399,1.630712636,LowT,Bacteria
Alphaproteobacteria OTU923,1.631776738,LowT,Bacteria
Alphaproteobacteria or_Parvibaculales OTU117,1.650717689,LowT,Bacteria
Bacteroidetes Euzebyella,1.654751649,LowT,Bacteria
Alphaproteobacteria Sedimentitalea OTU964,1.660048229,LowT,Bacteria
Alphaproteobacteria or_Rickettsiales,1.66302491,LowT,Bacteria
Alphaproteobacteria or_Parvibaculales OTU266,1.663234979,LowT,Bacteria
Alphaproteobacteria Sedimentitalea OTU435,1.675524415,LowT,Bacteria
Unclassified Bacteria OTU759,1.690651484,LowT,Bacteria
Alphaproteobacteria fa_Rhodobacteraceae OTU32,1.694261566,LowT,Bacteria
Alphaproteobacteria Pseudahrensia OTU525,1.695435151,LowT,Bacteria
Alphaproteobacteria or_Parvibaculales OTU156,1.699384711,LowT,Bacteria
Alphaproteobacteria fa_Micavibrionaceae,1.700668877,LowT,Bacteria
cf Thalassomonhystera,1.71,LowT,Meiofauna
Alphaproteobacteria fa_Rhodobacteraceae OTU131,1.741525885,LowT,Bacteria
Harpacticoid spp,1.75,LowT,Meiofauna
Alphaproteobacteria fa_Devosiaceae OTU49,1.759491329,LowT,Bacteria
Unclassified Bacteria OTU528,1.76589249,LowT,Bacteria
Alphaproteobacteria Pseudahrensia OTU115,1.784364209,LowT,Bacteria
juv Amphisamytha caldarei,1.79,LowT,Meiofauna
Alphaproteobacteria Robiginitomaculum OTU181,1.828344867,LowT,Bacteria
Cyanobacteria cl_Sericytochromatia,1.833565935,LowT,Bacteria
Bacteroidetes fa_Flavobacteriaceae OTU47,1.898484951,LowT,Bacteria
Alphaproteobacteria or_Parvibaculales OTU173,1.909110544,LowT,Bacteria
Amphisamytha caldarei,1.94,LowT,Macrofauna
Gammaproteobacteria,1.943175413,LowT,Bacteria
Alphaproteobacteria fa_Rhodobacteraceae OTU10,1.948229785,LowT,Bacteria
Alphaproteobacteria Sedimentitalea OTU259,1.96869518,LowT,Bacteria
Gammaproteobacteria fa_Methylophagaceae OTU69,2.035239664,LowT,Bacteria
Gammaproteobacteria Halioglobus,2.063930619,LowT,Bacteria
Alphaproteobacteria Sedimentitalea OTU146,2.070913728,LowT,Bacteria
Alphaproteobacteria Roseobacter NAC11-7 clade OTU436,2.111933292,LowT,Bacteria
Alphaproteobacteria fa_Rhodobacteraceae OTU730,2.133135923,LowT,Bacteria
Alphaproteobacteria Roseobacter NAC11-7 clade OTU522,2.212158107,LowT,Bacteria
Alphaproteobacteria fa_Rhodobacteraceae OTU603,2.322870504,LowT,Bacteria
Bacteroidetes fa_Crocinitomicaceae,2.357806211,LowT,Bacteria
Alphaproteobacteria Roseobacter NAC11-7 clade OTU29,2.400583277,LowT,Bacteria
