,A_Aciduliprofundum,A_Candidatus_Nitrosopumilus,A_cl_Methanomicrobia_ANME-1,A_cl_Nanohaloarchaeia,A_cl_Nanohaloarchaeia_Deep_Sea_Euryarchaeotic_Group,A_cl_Thermoplasmata,A_cl_Thermoplasmata_Marine_Group_II,A_cl_Thermoplasmata_Marine_Group_III,A_cl_Woesearchaeia,A_do_Archaea,A_fa_Aciduliprofundaceae,A_fa_Methanoperedenaceae,A_fa_Nitrosopumilaceae,A_Methanocaldococcus,A_Methanocorpusculum,A_Methanothermococcus,A_or_Desulfurococcales,A_Pyrococcus,A_sg_Asgardaeota,A_sub_ph_Odinarchaeia,A_Thermococcus,B_Acanthopleuribacter,B_Actibacter,B_Aestuariispira,B_Aliiroseovarius,B_Alkalimarinus,B_Alteromonas,B_Amphritea,B_Aquibacter,B_Aquicella,B_Aquimarina,B_Arcobacter,B_Aurantivirga,B_Aureispira,B_Bradyrhizobium,B_Burkholderia-Caballeronia-Paraburkholderia,B_Caldithrix,B_Calorithrix,B_cand_WPS-2,B_Candidatus_Gortzia,B_Candidatus_Jidaibacter,B_Carboxylicivirga,B_Cellulophaga,B_cl_Acidimicrobiia,B_cl_Alphaproteobacteria,B_cl_Alphaproteobacteria_SAR11_Clade_I,B_cl_Alphaproteobacteria_SAR11_Clade_Ia,B_cl_Anaerolineae,B_cl_Bacteroidetes_VC2.1_Bac22,B_cl_Bacteroidia,B_cl_Campylobacteria,B_cl_Deltaproteobacteria,B_cl_Deltaproteobacteria_SAR324_clade,B_cl_Gammaproteobacteria,B_cl_Gammaproteobacteria_KI89A_clade,B_cl_Gammaproteobacteria_OM182_clade,B_cl_Gammaproteobacteria_UBA10353_marine_group,B_cl_Gracilibacteria,B_cl_Ignavibacteria,B_cl_Sericytochromatia,B_Cocleimonas,B_Colwellia,B_Coxiella,B_Crocinitomix,B_Cycloclasticus,B_Dasania,B_Desulfatiglans,B_Desulfobulbus,B_Desulfocapsa,B_Desulfocarbo,B_Desulfomonile,B_Desulfuromonas,B_Desulfuromusa,B_Dissulfurimicrobium,B_do_Bacteria,B_Draconibacterium,B_endosymbionts,B_Euryhalocaulis,B_Euzebyella,B_fa_Alteromonadaceae,B_fa_Ardenticatenaceae,B_fa_Arenicellaceae,B_fa_Bacteriovoracaceae,B_fa_Bdellovibrionaceae_OM27_clade,B_fa_Beijerinckiaceae,B_fa_Burkholderiaceae,B_fa_Caldilineaceae,B_fa_Caulobacteraceae,B_fa_Cellvibrionaceae,B_fa_Chitinophagaceae,B_fa_Colwelliaceae,B_fa_Crocinitomicaceae,B_fa_Cryomorphaceae,B_fa_Cyclobacteriaceae,B_fa_Desulfarculaceae,B_fa_Desulfobacteraceae,B_fa_Desulfobulbaceae,B_fa_Desulfurobacteriaceae,B_fa_Desulfuromonadaceae,B_fa_Devosiaceae,B_fa_Ectothiorhodospiraceae,B_fa_Flavobacteriaceae,B_fa_Halieaceae,B_fa_Halieaceae_OM60_clade,B_fa_Helicobacteraceae,B_fa_Hydrogenothermaceae,B_fa_Hyphomonadaceae,B_fa_Kiloniellaceae,B_fa_Legionellaceae,B_fa_Lentimicrobiaceae,B_fa_Magnetospiraceae,B_fa_Marinifilaceae,B_fa_Marinilabiliaceae,B_fa_Methyloligellaceae,B_fa_Methylomonaceae,B_fa_Methylomonaceae_Marine_Methylotrophic_Group_2,B_fa_Methylophagaceae,B_fa_Methylophagaceae_Marine_Methylotrophic_Group_3,B_fa_Micavibrionaceae,B_fa_Microtrichaceae,B_fa_Microtrichaceae_Sva0996_marine_group,B_fa_Mycoplasmataceae,B_fa_Nannocystaceae,B_fa_Nautiliaceae,B_fa_Nitratiruptoraceae,B_fa_Nitrincolaceae,B_fa_Nitrospinaceae,B_fa_Oligoflexaceae,B_fa_Parvibaculaceae,B_fa_Parvularculaceae,B_fa_Pseudoalteromonadaceae,B_fa_Pseudomonadaceae,B_fa_Rhizobiaceae,B_fa_Rhodanobacteraceae,B_fa_Rhodobacteraceae,B_fa_Rhodobacteraceae_Roseobacter_clade_NAC11-7_lineage,B_fa_Rickettsiaceae,B_fa_Ruminococcaceae,B_fa_Sandaracinaceae,B_fa_Saprospiraceae,B_fa_Sedimenticolaceae,B_fa_Sneathiellaceae,B_fa_Solibacteraceae,B_fa_Sphingomonadaceae,B_fa_Spongiibacteraceae,B_fa_Spongiibacteraceae_BD1-7_clade,B_fa_Sulfurovaceae,B_fa_Terasakiellaceae,B_fa_Thermoanaerobaculaceae_Subgroup_10,B_fa_Thermoanaerobaculaceae_Subgroup_23,B_fa_Thermodesulfobacteriaceae,B_fa_Thioglobaceae,B_fa_Thioglobaceae_SUP05_cluster,B_fa_Thiohalorhabdaceae,B_fa_Thiotrichaceae,B_fa_Vibrionaceae,B_fa_Xanthobacteraceae,B_Fabibacter,B_Filomicrobium,B_Flavicella,B_Fluviicola,B_Fulvivirga,B_Fusibacter,B_Haliangium,B_Halioglobus,B_Halobacteriovorax,B_Hellea,B_Hydrogenimonas,B_Iamia,B_Ichthyobacterium,B_Kordiimonas,B_Magnetospira,B_Maribacter,B_Marimicrobium,B_Marinicella,B_Marinifilum,B_Maritimimonas,B_Methylobacterium,B_Methyloceanibacter,B_Nannocystis,B_Nereida,B_Nitratifractor,B_Nitratiruptor,B_Nitrospina,B_Nitrospira,B_Oleiphilus,B_Oleispira,B_or_Absconditabacteriales,B_or_Alteromonadales,B_or_Babeliales,B_or_Bacteroidales,B_or_Bacteroidales_Bacteroidetes_BD2-2,B_or_Bradymonadales,B_or_Campylobacterales,B_or_Campylobacterales_CH8-1-BAC,B_or_Candidatus_Peribacteria,B_or_Caulobacterales,B_or_Cellvibrionales,B_or_Chitinophagales,B_or_Clostridiales,B_or_Clostridiales_Family_XII,B_or_Cytophagales,B_or_Desulfobacterales,B_or_Desulfuromonadales,B_or_Ectothiorhodospirales,B_or_Flavobacteriales,B_or_Flavobacteriales_NS9_marine_group,B_or_Kordiimonadales,B_or_Micavibrionales,B_or_Myxococcales,B_or_Oceanospirillales,B_or_Parvibaculales,B_or_Parvibaculales_PS1_clade,B_or_Rhizobiales,B_or_Rhodospirillales,B_or_Rickettsiales,B_or_Saccharimonadales,B_or_Sphingobacteriales,B_Pelomonas,B_ph_Acidobacteria,B_ph_Acidobacteria_Subgroup_22,B_ph_Acidobacteria_Subgroup_26,B_ph_Acidobacteria_Subgroup_9,B_ph_Bacteroidetes,B_ph_Chloroflexi,B_ph_Gemmatimonadetes_BD2-11_terrestrial_group,B_ph_Patescibacteria,B_ph_Proteobacteria,B_ph_Spirochaetes,B_Phaselicystis,B_Photobacterium,B_Pibocella,B_Pseudahrensia,B_Pseudoalteromonas,B_Pseudofulvibacter,B_Pseudohongiella,B_Pseudomonas,B_Psychrilyobacter,B_Psychrobium,B_Psychromonas,B_Psychroserpens,B_Reichenbachiella,B_Robiginitomaculum,B_Salinirepens,B_Schleiferia,B_Sedimentitalea,B_Shewanella,B_Sneathiella,B_Sphingorhabdus,B_Spongiiferula,B_Stenotrophomonas,B_Sulfurimonas,B_Sulfurospirillum,B_Sulfurovum,B_Tenacibaculum,B_Terasakiella,B_Thermopetrobacter,B_Thermosulfidibacter,B_Thiofractor,B_Thiogranum,B_Thiohalophilus,B_Thiolapillus,B_Ulvibacter,B_Vibrio,B_Wenyingzhuangia,B_Winogradskyella,E_Aspidisca,E_Cinetochilum_ovale,E_cl_Choanoflagellatea,E_cl_Chrysophyceae,E_cl_Chrysophyceae_Clade-C,E_cl_Dinophyceae,E_cl_Filosa-Granofilosea,E_cl_Filosa-Imbricatea,E_cl_Filosa-Thecofilosea,E_cl_Spirotrichea,E_cl_Variosea,E_Cyphellophora,E_do_Eukaryota,E_Euplotes,E_Exophiala_xenobiotica,E_fa_Apusomonadidae_Group-1,E_fa_Chytridiomycetes,E_fa_Discotrichidae,E_fa_Dothideomycetes,E_fa_Eurotiomycetes,E_fa_Flabellulidae,E_fa_Philasterida,E_fa_Pseudoperkinsidae,E_fa_Pyloniidae-Spongodiscidae,E_fa_Salpingoecidae_Group_C2,E_fa_Sordariomycetes,E_fa_Thaumatomonadidae,E_fa_Vaginicolidae,E_Hartmannella_vermiformis,E_Holosticha,E_Holosticha_diademata,E_Massisteria,E_or_Apostomatia,E_or_Collodaria,E_or_Dino-Group-I-Clade-1,E_or_Dino-Group-I-Clade-2,E_or_Dino-Group-I-Clade-3,E_or_Dino-Group-I-Clade-4,E_or_Dino-Group-II,E_or_Dino-Group-II-Clade-10-and-11,E_or_Dino-Group-II-Clade-6,E_or_Dino-Group-II-Clade-7,E_or_Euglyphida,E_or_Hypotrichia,E_or_Jakobida,E_or_Marimonadida,E_or_Pezizomycotina,E_or_Pterocystida,E_or_Sessilida,E_or_Stygamoebida,E_Paraflabellula,E_Perkinsus,E_ph_Apicomplexa,E_ph_Breviatea_NAMAKO-1-lineage,E_ph_Cercozoa,E_ph_Ciliophora,E_ph_Endomyxa_Endo5-lineage,E_ph_RAD-A,E_ph_Radiolaria_RAD-B-Group-IV,E_ph_Telonemia-Group-1,E_Prasinoderma_singularis,E_Protaspa-lineage,E_Rhizamoeba_saxonica,E_Rhytidocystis_cyamus,E_sg_Alveolata,E_sg_Opisthokonta,E_Thalassomyxa-lineage,E_Uronychia_setigera,E_Vermistella,Mac_Amphisamytha_carldarei,Mac_Branchinotogluma_tunnicliffeae,Mac_Clypeosectus_curvus,Mac_Depressigyra_globulus,Mac_Euphilomedes_climax,Mac_Helicoradomenia_juani,Mac_Lepetodrilus_fucensis,Mac_Lepidonotopodium_piscesae,Mac_Nicomache_venticola,Mac_Orbiniella_hobsonae,Mac_Paralvinella_palmiformis,Mac_Paralvinella_pandorae,Mac_Paralvinella_sulfincola,Mac_Provanna_variabilis,Me_Aphotopontius_forcipatus,Me_Benthoxynus_spiculifer,Me_cf_Neochromadora,Me_cf_Thalassomonhystera,Me_Copidognathus_papillatus,Me_Harpacticoid_spp,Me_juv_Amphisamytha_carldarei,Me_juv_Lepetodrilus_fucensis,Me_juv_Provanna_variabilis,Me_juv_Ridgeia_piscesae,Me_Nematode_spB_non_id,Me_Nemertean_non_ID,Me_Ophryotrocha_globopalpata,Me_Sphaerosyllis__ridgensis,Me_Stygiopontius_quadrispinosus,Me_Thomontocypris_cf_brightae,Me_Xylocethere_sarrazinae
EMw3,0,9447.6,0,0,0,0,2.8,0,0.2,0.1,0,0,20.3,0.2,0,0,0,0,1.2,0,0,31.3,73.8,7.4,0,12.9,3.7,191.8,625.1,9.2,230.5,208.4,178.9,7.4,267.4,31.3,0,0,361.4,0,11.1,7.4,265.5,36.9,9696.7,1.8,7.4,5.5,24,199.1,0,333.7,18.4,6081,189.9,18.4,3.7,1051,151.2,24,178.9,180.7,7.4,175.2,0,13683.1,0,0,1.8,16.6,1.8,0,33.2,0,1670.5,0,7.4,145.7,138.3,0,287.6,206.5,444.4,24,3.7,40.6,118,20.3,24,42.4,40.6,492.3,750.4,343,1.8,1.8,0,0,0,885,97.7,7609.5,173.3,0,49.8,0,424.1,446.2,5.5,88.5,31.3,33.2,0,46.1,979.1,59,9.2,394.6,197.3,343,92.2,0,12.9,0,0,7.4,276.6,18.4,71.9,188.1,5.5,1.8,46.1,14.8,4948.9,494.1,14.8,0,55.3,7.4,5.5,16.6,3.7,18.4,1290.7,57.2,0,22.1,243.4,1.8,0,1.8,0,687.8,241.5,14.8,47.9,27.7,101.4,36.9,12.9,36.9,188.1,27.7,306.1,7.4,1189.3,3.7,59,3.7,3.7,49.8,110.6,29.5,9.2,741.2,0,0,116.2,16.6,7.4,14.8,3.7,1069.4,520,18.4,24,24,38.7,12.9,5.5,0,35,11.1,1.8,186.2,24,602.9,9.2,29.5,9.2,5.5,0,0,5.5,389,114.3,3082.9,215.7,75.6,7.4,35,1548.8,341.1,1.8,479.4,531,24,206.5,0,5.5,1.8,5.5,0,0,11.1,0,2026.4,0,0,49.8,7.4,1548.8,206.5,9.2,16.6,31.3,9.2,79.3,7.4,7.4,66.4,2393.3,14.8,57.2,438.8,3.7,372.5,18.4,0,0,47.9,14.8,164.1,24,156.7,0,0,0,12.9,7.4,0,459.1,1.8,11.1,11.1,124.6,9.1,3.2,5.2,88.6,68.4,20.4,0.2,4.7,448.6,2,115,347.7,451.8,83,206.1,71.9,0.5,8.4,20.7,22.9,11.3,19,6.6,37.9,89.1,220.1,105.4,0.7,27.6,4.7,42.8,13,47.5,7.6,39.9,1.2,5.2,11.1,3.7,19.9,38.9,16,41.4,0,0.5,29.8,4.4,133.5,4.4,48.5,4.4,234.6,0,148.7,18.7,3.9,0.2,39.6,11.1,0.5,4.4,2,30.5,154.6,18.5,245,69.2,8.9,640,0,18,65,4,61,1534,0,3,5,0,0,0,96,96,0,376,812,336,480,124,3184,96,0,56,3632,662,325,0,549,4
ECw11,0,460.3,46,0,0,46,92.1,0,0,0,0,46,598.4,0,92.1,46,0,0,0,92.1,0,0,479.7,8.6,2.9,2.9,8.6,0,8.6,8.6,8.6,74.7,0,0,34.5,37.3,31.6,0,66.1,2.9,8.6,560.2,2.9,14.4,2502.1,80.4,275.8,8824.8,1407.6,588.9,0,68.9,57.5,2436,17.2,5.7,80.4,1904.6,77.6,31.6,77.6,103.4,2.9,23,8.6,209.7,34.5,77.6,31.6,5.7,17.2,5.7,1973.5,2.9,3205.9,2.9,80.4,31.6,25.9,8.6,0,540.1,149.4,40.2,17.2,5.7,4461.2,0,5.7,0,23,23776.9,158,419.4,0,0,83.3,0,20.1,617.6,11372.8,2122.9,221.2,5.7,46,0,71.8,57.5,2.9,1246.7,28.7,46,8.6,2.9,34.5,14.4,8.6,574.5,83.3,60.3,152.3,2.9,5.7,0,2.9,0,20.1,68.9,0,11.5,0,112,11.5,14.4,3639.6,1008.3,14.4,0,28.7,17.2,2.9,5.7,0,8.6,94.8,2.9,77.6,43.1,5.7,255.7,0,2.9,0,8.6,60.3,0,0,0,5.7,0,31.6,2.9,37.3,2.9,175.2,2.9,74.7,1651.8,11.5,8.6,5.7,2.9,8.6,17.2,17.2,0,1611.6,2.9,17.2,5.7,5.7,1367.4,31.6,0,17.2,0,2.9,178.1,40.2,17.2,258.5,71.8,2.9,287.3,40.2,80.4,0,57.5,0,2.9,0,5.7,0,25.9,2.9,502.7,20.1,183.8,31.6,37.3,2.9,5.7,663.6,97.7,2.9,114.9,0,17.2,0,2.9,0,2.9,0,51.7,28.7,11.5,0,617.6,2.9,0,0,2.9,948,327.5,0,8.6,1011.2,11.5,0,71.8,2.9,17.2,310.2,0,5.7,413.7,11.5,2.9,5.7,0,0,206.8,2.9,3530.5,0,8.6,0,0,28.7,43.1,2.9,25.9,0,2.9,0,11.5,78.6,0,0,0,0.2,19.8,2.8,0.2,0.5,2.2,0,0.4,925.2,7.2,0,0.7,51.1,6.2,6.5,106.4,19.6,1.4,18.3,7.5,11.4,0.1,2.8,2.2,0.2,3.3,6.6,0.1,18.7,15.4,91.7,58.7,8.2,33.5,3.2,8.8,5.6,1.8,0,352.3,0,0,25.3,0,25.3,0.6,0.1,0,2137.2,0,11.5,2.1,0.1,21.2,0.9,0.1,6.5,9.1,3.3,8.2,202.7,1.1,18.1,0,0.7,260,0,63,4,4,25,1169,6,0,4,0,0,0,9,64,8,620,204,4,1036,204,1688,72,0,0,1252,0,3,0,52,28
EMw1,578.7,20783.7,0,0.5,12.3,1235.8,962.3,26.3,1278.8,78.3,80.3,0,1451,2.4,0,0,15.6,4.6,9,37.6,464.6,4.1,167.3,0.6,0,15.8,0,160.2,18.8,10.6,155.5,5731.8,58.7,17.6,48.1,260.6,26.4,0,102.7,2.3,0.6,10604.4,2.9,1.2,1766.6,59.9,144.4,1089.9,1974.4,1956.2,8.2,142,11.2,855.1,38.1,3.5,8.2,1625.8,89.2,8.2,105.6,550.5,11.2,54.6,0.6,207.2,2.9,27,7.6,527.1,1.8,56.3,1774.8,10.6,1922.7,30.5,20.5,56.9,9.4,0,589.3,34.6,74,15.8,955.5,3.5,180.8,2.3,7.6,6.5,137.9,592.2,322.8,178.4,1.8,0,59.9,5.3,74,334,461.9,1850.6,55.2,2.3,155.5,2.3,62.2,110.3,18.8,1645.7,25.2,3172.9,64,2.3,186.1,41.1,3.5,255.3,56.3,14.7,12.9,2.9,15.8,0,35.2,7.6,14.7,7,62.2,75.1,0,1.2,7,17.6,1077.6,297,1.2,9.4,25.2,37,21.7,3.5,2.3,2.3,36.4,8.2,54.6,6.5,82.2,16.4,5.9,2.3,4.1,38.1,246.5,5.9,3.5,7,12.9,17,8.2,32.9,668.5,4.1,20,2.3,91,500.6,3.5,167.9,0.6,2.9,54,9.4,0,625.1,197.8,986,6.5,2.3,0.6,8401.7,584,53.4,70.4,5.9,17.6,56.9,30.5,2.3,284.1,354.5,6.5,774.1,7,21.7,4.1,31.7,5.9,42.8,15.8,6.5,1.2,1.2,2.3,212.5,24.1,715.5,52.8,16.4,8.8,1.8,216,164.9,2.9,153.2,4.1,157.9,4.1,0,0,8.8,4.1,3.5,2.3,1.2,3.5,361.5,1.8,0,140.9,0.6,317.5,33.5,12.3,5.3,16.4,18.8,78.6,453.1,2.3,13.5,634.5,1.2,5.9,175.5,5.9,31.7,6.5,3.5,0.6,191.3,0,744.2,71,8.8,0.6,0.6,5.9,4.7,3.5,0,69.8,7,2.3,10,3.6,0.1,0.5,4.6,0.2,48.1,0.1,0.2,1.2,0.7,0,0,1255.9,0.3,0.1,22.1,2.1,0.1,1.6,14.9,5.4,2.4,0.7,0,3.5,1.5,1.5,0.3,3525,0.3,1,0.6,0.7,6.2,336.1,4.3,8,14.3,0.3,3.7,0.4,0.7,0.2,0.7,52.6,0,5.8,0.8,5.3,0.4,2.6,0,875.3,17.3,7,0.1,0,2.3,2.9,1.2,0.3,2.1,0.7,5,108.6,6.8,1.7,0,0.8,0,4,0,2612,0,0,5016,0,0,0,4064,20,424,8,9184,1096,0,0,4,0,0,20,0,0,4,0,0,0,0,0,0
EMw4,2.1,1.1,0,3.1,5.6,28.9,0,1.2,8.2,70.9,1.5,0,4.9,2.8,0,0,0.3,11.6,1,1.3,97.2,0,0,0,0,0,0,0,0,0,0,45958.4,0,0,1.7,0,26.6,16.7,1.7,0,0,5064.5,0,0,6.7,1.7,1.7,997.6,1853.6,1194.1,15,168.2,1.7,3.3,0,0,0,2732.9,363.1,0,0,0,11.7,0,0,10,5,11.7,1.7,8.3,5,111.6,1407.3,25,3135.9,25,0,0,1.7,0,0,3.3,63.3,15,21.7,0,30,0,0,0,0,3.3,8.3,11.7,3.3,0,194.9,45,88.3,3.3,8.3,108.3,0,0,61.6,18.3,1.7,0,0,3662.2,0,118.2,36.6,0,0,0,0,0,0,0,1.7,1.7,0,25,268.1,0,0,0,0,0,0,0,0,0,65,6.7,0,20,0,0,36.6,0,0,0,0,0,114.9,0,0,13.3,31.6,0,0,1.7,5,0,0,0,0,0,0,0,1.7,0,0,0,1.7,1690.4,0,221.5,0,0,0,0,0,5,174.9,21.7,0,0,0,16499.1,4021.9,0,0,0,0,98.3,0,0,176.5,547.9,1.7,4338.4,3.3,0,0,0,0,0,0,0,3.3,11.7,0,26.6,0,6.7,0,6.7,0,0,0,8.3,0,0,0,349.7,0,0,0,1.7,0,3.3,0,0,6.7,291.4,0,26.6,0,0,3.3,13.3,0,0,1.7,5,0,5,0,0,0,0,5,0,0,0,0,1.7,10,214.8,0,801.1,0,0,0,3.3,226.5,0,0,0,0,0,0,0,0.3,0,0.6,0.3,0,18.6,0,0,0,0.9,0,0.8,738,0.1,0.5,0,0.9,0,9.3,61.7,0.2,0,0.2,0,0.1,0.1,0,0,10.9,0,0,0.8,0,263,93.5,23.3,0,2.8,0.3,0.5,1,0,0,0,213.3,0,80.9,0,0.4,0,0,0,1.5,1.3,1.2,0,0,0,0,0,0,0,0,0,0,5.5,0.3,0,0.1,4,12,0,1834,0,0,716,8,0,0,1676,4,284,2,1088,726,0,0,0,0,0,12,0,4,0,0,0,0,47530,0,0
EMw8,342.3,5.9,0,9.9,4.9,1964.5,8.3,5.5,173.5,169.3,53.9,0,41.4,25.8,0,0,6.6,4.2,54.2,68.3,283.1,0,0,0,0,0,0,0,0,0,0,12370.1,0,0,1.5,11.8,448.7,5.9,0,0,0,7367.4,0,0,35.4,0,1.5,1854,4431.4,2680.7,4.4,651,0,29.5,0,0,0,5492.7,345.4,0,1.5,11.8,0,3,0,0,22.1,62,7.4,31,29.5,36.9,956.5,95.9,4127.3,51.7,0,0,0,0,0,8.9,31,36.9,7.4,0,88.6,0,0,0,7.4,0,17.7,70.9,10.3,10.3,405.9,17.7,51.7,1.5,1.5,380.8,0,0,168.3,0,0,0,0,2512.4,0,178.6,60.5,0,0,0,0,0,1.5,0,0,10.3,0,4.4,191.9,0,0,0,0,0,1.5,0,0,0,65,20.7,0,14.8,0,7.4,35.4,0,0,0,0,0,434,0,0,35.4,8.9,0,0,0,107.8,0,0,0,0,0,0,0,0,0,0,0,0,3256.4,0,1626.7,0,0,0,0,0,1.5,463.5,3,0,0,0,31186.5,2733.8,0,0,0,0,110.7,17.7,0,463.5,1567.7,1.5,3959,44.3,0,0,0,0,0,0,1.5,10.3,7.4,0,76.8,0,0,0,8.9,0,0,0,4.4,0,1.5,0,947.7,3,4.4,0,0,0,13.3,0,0,4.4,132.9,19.2,8.9,0,0,0,243.6,0,0,3,10.3,0,3,0,0,0,0,13.3,1.5,0,0,0,3,1.5,804.5,1.5,1873.2,0,0,0,1.5,34,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,122.8,0,5.1,0,0.1,0,1.8,18.5,0,0,0,0,0,3.1,0,0,3.7,0,0,0,0,80,0.8,2,18.2,2.2,0.7,0.8,0,11.1,0,0,108.3,0,262.4,0,0,0,0,0,9.1,40.8,0.8,0,0,0,0,0,3.2,0,0,0,0.1,5.8,0,0,0,9,3,0,585,0,0,1020,9,0,0,445,10,123,0,0,312,0,0,0,0,0,20,0,0,0,8,0,0,54796,0,0
MVw12,3.6,190.3,18.1,0,11.1,15.5,15.9,4.4,75.4,7.2,0,319,45.6,0,0,11.4,5.4,5.7,23.9,21.3,5.7,4.3,2.1,0,36.3,0,545.2,2.1,0,0,0,966.3,0,40.6,0,0,230.9,0,0,0,2.1,258.7,0,0,18808.9,0,2.1,104.8,2405.1,652,0,194.5,87.7,2246.9,0,0,0,7542.4,49.2,0,21.4,156.1,0,587.9,117.6,0,6.4,19.2,0,40.6,34.2,0,29.9,4.3,1351.1,0,17.1,605,0,74.8,0,4.3,34.2,4.3,0,0,12.8,0,0,0,145.4,12.8,431.8,17.1,2.1,4.3,29.9,2.1,0,0,8.6,6492.7,4.3,0,6.4,17.1,10.7,0,0,570.8,2.1,104.8,2.1,0,233,42.8,38.5,3972.1,42.8,0,2.1,0,0,0,2.1,0,2.1,0,19.2,0,0,2.1,17.1,0,33481,230.9,0,0,27.8,72.7,21.4,0,0,0,32.1,0,32.1,6.4,0,55.6,2.1,0,4.3,2.1,769.6,160.3,0,6.4,0,0,12.8,0,0,2.1,2.1,0,0,21.4,0,780.3,12.8,6.4,2.1,0,17.1,113.3,42.8,2.1,0,0,0,77,27.8,4.3,0,0,0,66.3,25.7,2.1,139,395.5,15,1109.6,42.8,0,0,0,0,0,0,4.3,0,2.1,0,310,2.1,756.8,136.8,8.6,2.1,59.9,1936.9,8.6,0,36.3,0,350.6,0,8.6,0,0,2.1,4.3,0,0,0,1105.3,2.1,2.1,0,0,421.2,111.2,0,0,79.1,6.4,0,0,0,32.1,81.2,0,0,51.3,0,77,0,684.1,8.6,288.6,6.4,1466.6,0,0,209.5,0,49.2,0,0,64.1,0,1956.1,0,0,0.1,0,4,3.3,2.9,5.1,1.5,0.2,2.7,0,0,1.7,73.9,0,4.5,0.7,0.1,0.1,0.3,2.7,31.2,0,0,0,327.1,3.9,0,0,0,0.1,0,23.4,0,1.1,11.3,4.5,0.5,1.1,0,0,1.1,1.9,5.3,0,7.4,0,163.8,5.6,1.1,2.1,44,0,0.2,61.9,145.4,2,6.5,0,0,0,0,15,1.5,0,0.2,35.7,2,0,2.7,0,4,0,96,0,0,6,0,0,0,0,0,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54912,0,0
EMw5,0.6,14782.2,0,0,0,0.2,2,0.9,0,0,0,0,48.9,0,0,0,0,0,0,0,0,49.9,235.7,0,5.5,33.3,2.8,2.8,63.8,55.5,30.5,213.5,16.6,0,94.3,11.1,2.8,0,343.8,8.3,8.3,74.9,0,16.6,8532.1,5.5,0,80.4,5.5,302.2,0,745.9,2.8,6552.2,671,16.6,8.3,7364.7,97,63.8,302.2,465.8,11.1,38.8,8.3,463.1,0,2.8,0,0,0,0,33.3,0,1275.5,0,11.1,260.6,80.4,0,2.8,316.1,124.8,55.5,11.1,0,166.4,2.8,5.5,2.8,116.5,266.2,404.8,895.6,16.6,2.8,0,2.8,0,732,1325.4,8371.2,2578.8,0,246.8,2.8,116.5,424.2,44.4,19.4,13.9,2.8,0,2.8,166.4,102.6,49.9,2060.2,230.1,77.6,457.5,0,124.8,0,0,2.8,124.8,66.5,27.7,601.7,174.7,2.8,33.3,0,10198.5,2401.3,5.5,0,97,38.8,27.7,2.8,0,2.8,343.8,27.7,2.8,166.4,238.5,0,0,2.8,2.8,291.1,219.1,27.7,13.9,33.3,44.4,30.5,19.4,25,44.4,49.9,488,0,25,47.1,74.9,2.8,16.6,38.8,91.5,812.4,2.8,155.3,13.9,5.5,5.5,91.5,5.5,213.5,33.3,593.4,8.3,30.5,113.7,41.6,8.3,11.1,47.1,5.5,108.1,33.3,2.8,246.8,22.2,241.2,183,0,2.8,2.8,0,0,8.3,305,47.1,1863.4,52.7,88.7,91.5,25,4120.5,188.6,2.8,341.1,19.4,0,2.8,0,2.8,8.3,0,0,0,2.8,0,1059.2,0,0,66.5,13.9,1541.7,19.4,0,30.5,33.3,0,127.6,69.3,30.5,33.3,1491.8,38.8,2.8,1910.5,5.5,30.5,0,0,166.4,224.6,0,1242.2,2.8,0,0,0,0,5.5,30.5,5.5,213.5,0,8.3,8.3,231.3,18.7,2.2,20.8,1.9,20.2,2.1,6.9,21.7,8,2.5,0.3,217.3,41.3,0,79,1.9,0.1,0.7,2.1,8,50.2,0,0.7,11.7,0.4,12.3,13.5,0.2,54.1,1,8.1,150.6,46,9.5,13.4,2.4,2.9,1.3,1.7,1.4,3.9,3.7,25.2,0.2,3.1,2.5,9.4,7.5,36.3,23.5,10.4,36.6,0,157.4,11.7,0.4,0.4,2.9,17.9,0.3,1.5,7.6,18.5,27.9,6.3,33,3.8,5.4,884,0,2,234,2,106,10370,0,4,2,0,0,0,104,540,0,316,504,150,512,140,9456,252,0,12,4608,1764,12,84,4,240
